,propertyCode,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,distance,hasVideo,status,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,has360,hasStaging,externalReference,floor,district,hasLift
0,91615378,750.0,flat,rent,60.0,True,1,1,"Calle de Alejandro Villegas, 23",Madrid,Madrid,es,404.646.164,-36.489.179,True,7037,0.0,good,0.0,13.0,{'typology': 'flat'},"{'subtitle': 'Canillas, Madrid', 'title': 'Piso en Calle de Alejandro Villegas, 23'}",0.0,0.0,0.0,AV23,3,Hortaleza,1.0
1,88363329,750.0,flat,rent,70.0,True,2,1,Gregorio izquierdo,Madrid,San Sebastián de los Reyes,es,405.500.865,-36.278.085,False,16145,1.0,good,0.0,11.0,{'typology': 'flat'},"{'subtitle': 'Centro Urbano, San Sebastián de los Reyes', 'title': 'Piso en Gregorio izquierdo'}",1.0,0.0,0.0,,bj,Centro Urbano,0.0
2,98621753,400.0,penthouse,rent,67.0,True,2,2,Calle Madrid,Madrid,Villamanrique de Tajo,es,40.069.197,-3.241.383,False,55041,0.0,good,0.0,6.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Villamanrique de Tajo', 'title': 'Ático en Calle Madrid'}",0.0,1.0,0.0,90004,2,,0.0
3,98568766,590.0,flat,rent,70.0,True,3,2,Rascafría,Madrid,Rascafría,es,409.073.967,-38.815.996,False,56596,0.0,good,0.0,8.0,{'typology': 'flat'},"{'subtitle': 'Rascafría', 'title': 'Piso'}",0.0,0.0,0.0,2539,,,0.0
4,98323777,684.0,studio,rent,45.0,True,0,1,"Av. José Antonio Corrales, 2",Madrid,Madrid,es,404.855.273,-36.155.982,True,10656,,,,,,,,,,,,,
5,98715909,600.0,flat,rent,73.0,True,2,1,Manzanares el Real,Madrid,Manzanares el Real,es,40.727.241,-38.627.075,False,37062,False,good,False,8.0,{'typology': 'flat'},"{'subtitle': 'Manzanares el Real', 'title': 'Piso'}",False,False,False,J-1823,3,,False
6,98842551,600.0,duplex,rent,71.0,True,1,1,Calle de la Fuente,Madrid,Miraflores de la Sierra,es,4.081.076,-37.651.952,False,44126,False,good,False,8.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Miraflores de la Sierra', 'title': 'Dúplex en Calle de la Fuente'}",False,False,False,fuente28,1,,False
7,94442572,550.0,flat,rent,53.0,True,1,1,Avenida del Monte Igueldo,Madrid,Madrid,es,403.925.829,-36.680.531,False,4008,False,good,False,10.0,{'typology': 'flat'},"{'subtitle': 'San Diego, Madrid', 'title': 'Piso en Avenida del Monte Igueldo'}",False,False,False,928,1,Puente de Vallecas,False
8,98127430,700.0,studio,rent,28.0,True,0,1,"Calle de Juan Pérez Zúñiga, 41",Madrid,Madrid,es,404.436.001,-36.477.389,True,5569,False,good,False,25.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'San Pascual, Madrid', 'title': 'Estudio en Calle de Juan Pérez Zúñiga, 41'}",True,False,False,3248-21524,1,Ciudad Lineal,False
9,98645906,700.0,duplex,rent,86.0,True,2,1,Calle Prado Mingo,Madrid,Galapagar,es,405.756.061,-40.067.032,False,31153,False,good,False,8.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Casco Antiguo, Galapagar', 'title': 'Dúplex en Calle Prado Mingo'}",False,False,False,3408-00443,3,Casco Antiguo,True
